                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7655,                 3.8241,                 1.6452,                0.64048,                  0.244,                0.16372,                0.08993,                 1.5191,                 2.6751,                 1.5507,                 0.0757,                 0.0027,                 0.0027
                      1,                 1.4952,                 2.0463,                 1.4755,                0.23007,                0.26935,                 0.2456,                0.14464,                 1.3906,                 2.0789,                 1.3546,               0.050391,              0.0053911,              0.0053911
                      2,                 1.3428,                 1.6593,                 1.3226,                0.31642,                  0.276,                0.29848,                0.17426,                 1.3374,                 1.7211,                  1.284,               0.024971,              0.0079713,              0.0079713
                      3,                 1.3514,                 1.5606,                 1.2452,                0.46815,                0.33261,                0.33631,                0.17832,                 1.4423,                 1.5889,                 1.2786,               0.009406,               0.009406,               0.009406
                      4,                  1.296,                 1.3337,                 1.2123,                0.83833,                  0.192,                0.23289,                0.12125,                 1.8006,                 2.0977,                 1.4995,               0.009406,               0.009406,               0.009406
                      5,                 1.3675,                 1.2104,                 1.2096,                0.82699,                  0.256,                0.31135,                0.17641,                 1.4397,                 1.6705,                 1.2902,               0.009208,               0.009208,               0.009208
                      6,                  1.293,                 1.3015,                 1.1831,                0.53809,                0.35452,                0.37662,                0.23329,                 1.3522,                 1.3986,                 1.2322,                0.00901,                0.00901,                0.00901
                      7,                 1.2443,                 1.0921,                 1.1521,                0.59297,                0.33852,                0.40309,                0.25609,                 1.2923,                 1.2094,                 1.2007,               0.008812,               0.008812,               0.008812
                      8,                 1.2183,                 1.1203,                 1.1686,                0.37596,                0.29098,                0.34648,                0.21422,                 1.2852,                 1.4738,                 1.2269,               0.008614,               0.008614,               0.008614
                      9,                 1.1575,                 1.0776,                 1.1429,                0.51804,                0.28609,                 0.3511,                0.22307,                 1.2471,                 1.4468,                 1.1977,               0.008416,               0.008416,               0.008416
                     10,                 1.1608,                0.98468,                 1.1285,                0.50602,                 0.3998,                0.41135,                0.27411,                 1.1712,                 1.1667,                 1.1371,               0.008218,               0.008218,               0.008218
                     11,                 1.0929,                0.88504,                 1.0893,                0.56713,                 0.4714,                0.48752,                0.32466,                 1.1496,                 1.0345,                 1.1402,                0.00802,                0.00802,                0.00802
                     12,                 1.1132,                0.95385,                 1.1043,                0.41825,                0.40252,                0.40608,                0.28013,                  1.114,                  1.082,                 1.1459,               0.007822,               0.007822,               0.007822
                     13,                 1.0802,                 0.8721,                   1.09,                 0.5065,                0.49659,                0.43265,                  0.314,                 1.0781,                 1.0756,                 1.1072,               0.007624,               0.007624,               0.007624
                     14,                 1.0922,                0.87245,                 1.0769,                0.36804,                0.49871,                0.45862,                0.31393,                 1.1096,                 1.1083,                 1.1135,               0.007426,               0.007426,               0.007426
                     15,                 1.0505,                0.84749,                 1.0714,                0.34886,                0.51821,                0.41405,                0.29657,                  1.134,                 1.0683,                 1.1352,               0.007228,               0.007228,               0.007228
                     16,                 1.0085,                0.83248,                 1.0514,                0.82815,                0.42313,                0.45613,                 0.3195,                 1.1073,                 1.0613,                 1.1194,                0.00703,                0.00703,                0.00703
                     17,                  1.001,                0.81219,                 1.0541,                0.52392,                0.39052,                0.45896,                 0.3216,                 1.0811,                 1.0616,                 1.1244,               0.006832,               0.006832,               0.006832
                     18,                0.99588,                0.77562,                 1.0574,                 0.8126,                 0.4124,                 0.4698,                0.31918,                 1.0847,                 1.0202,                 1.1368,               0.006634,               0.006634,               0.006634
                     19,                0.95825,                  0.751,                 1.0386,                0.60187,                 0.4315,                0.44984,                0.32923,                 1.0135,                0.94148,                 1.0914,               0.006436,               0.006436,               0.006436
                     20,                0.96625,                0.72996,                 1.0454,                0.56135,                0.44558,                 0.4907,                0.36771,                0.96705,                0.93768,                 1.0672,               0.006238,               0.006238,               0.006238
                     21,                 0.9547,                 0.7186,                 1.0264,                0.53603,                0.50459,                0.49306,                0.34571,                0.99937,                0.97885,                 1.0547,                0.00604,                0.00604,                0.00604
                     22,                0.92718,                0.69713,                 1.0204,                0.49474,                0.54356,                0.48089,                0.34861,                0.95657,                0.95641,                 1.0497,               0.005842,               0.005842,               0.005842
                     23,                0.91179,                0.68944,                0.99798,                0.49562,                0.56155,                0.48228,                0.35335,                0.94039,                0.93332,                 1.0555,               0.005644,               0.005644,               0.005644
                     24,                0.89549,                0.65964,                 1.0041,                0.54065,                0.51659,                 0.4989,                0.36509,                0.95062,                0.86638,                 1.0522,               0.005446,               0.005446,               0.005446
                     25,                0.87778,                0.65286,                0.99494,                0.55452,                0.53911,                0.48761,                 0.3626,                0.90258,                 0.8515,                 1.0337,               0.005248,               0.005248,               0.005248
                     26,                0.88815,                0.63912,                 1.0072,                0.50423,                0.54777,                0.49007,                0.36971,                0.91725,                0.85644,                  1.063,                0.00505,                0.00505,                0.00505
                     27,                 0.8393,                0.62702,                0.98556,                0.90863,                0.42797,                0.49284,                0.36358,                 0.9717,                0.97771,                 1.0828,               0.004852,               0.004852,               0.004852
                     28,                0.87263,                0.66056,                0.99665,                0.52679,                0.56435,                 0.5587,                0.38725,                0.93657,                0.79851,                 1.0888,               0.004654,               0.004654,               0.004654
                     29,                0.82854,                0.61453,                0.99072,                0.78753,                0.46317,                0.54075,                 0.3731,                0.94992,                0.81623,                 1.0759,               0.004456,               0.004456,               0.004456
                     30,                0.82184,                0.58639,                0.97441,                0.47082,                0.53511,                0.49694,                 0.3585,                0.95245,                0.85211,                 1.0446,               0.004258,               0.004258,               0.004258
                     31,                0.80707,                0.60163,                0.96355,                 0.6142,                0.54963,                0.57644,                0.39812,                0.98949,                0.83125,                 1.1284,                0.00406,                0.00406,                0.00406
                     32,                0.79723,                0.56255,                0.96755,                 0.5464,                0.53511,                0.51735,                0.38282,                0.89841,                0.81709,                 1.0503,               0.003862,               0.003862,               0.003862
                     33,                0.77339,                0.57774,                0.96313,                0.65853,                0.53911,                0.53881,                0.40021,                0.85632,                0.81994,                 1.0534,               0.003664,               0.003664,               0.003664
                     34,                0.79309,                0.59807,                 0.9801,                0.54525,                0.58927,                0.52906,                0.40119,                0.87582,                0.77675,                 1.0445,               0.003466,               0.003466,               0.003466
                     35,                0.75978,                0.57818,                0.95348,                0.55647,                0.52059,                0.53449,                0.39614,                0.85346,                0.78218,                 1.0393,               0.003268,               0.003268,               0.003268
                     36,                0.77229,                0.55757,                0.96042,                0.62371,                0.53171,                0.54362,                0.41309,                0.81709,                0.77547,                 1.0243,                0.00307,                0.00307,                0.00307
                     37,                0.73774,                0.54682,                 0.9533,                0.66709,                0.55343,                0.54614,                0.41997,                0.81658,                0.73516,                 1.0363,               0.002872,               0.002872,               0.002872
                     38,                0.74903,                0.54625,                0.96512,                0.65653,                0.57452,                0.55379,                0.43684,                0.82086,                0.70445,                 1.0353,               0.002674,               0.002674,               0.002674
                     39,                0.72571,                0.55055,                0.94535,                0.61118,                0.55763,                0.54844,                0.41531,                 0.8213,                0.69882,                 1.0231,               0.002476,               0.002476,               0.002476
                     40,                0.68381,                0.48615,                0.91512,                0.57553,                0.55763,                0.54507,                0.41714,                0.83454,                0.73781,                 1.0398,               0.002278,               0.002278,               0.002278
                     41,                0.63357,                0.43613,                0.90461,                0.73469,                0.51826,                 0.5406,                0.42376,                0.79186,                 0.7395,                 1.0151,                0.00208,                0.00208,                0.00208
                     42,                0.62537,                0.42763,                0.88401,                0.70269,                0.51659,                0.53942,                 0.4271,                0.78883,                0.72274,                 1.0092,               0.001882,               0.001882,               0.001882
                     43,                0.62124,                0.43291,                 0.8889,                0.73692,                0.51659,                0.54586,                0.43583,                0.81506,                 0.7128,                 1.0128,               0.001684,               0.001684,               0.001684
                     44,                0.59562,                0.41548,                0.87557,                0.54258,                 0.5857,                0.55532,                0.43749,                0.81038,                0.70177,                 1.0063,               0.001486,               0.001486,               0.001486
                     45,                0.57965,                0.39736,                0.88018,                0.55735,                0.53903,                0.54294,                0.42258,                0.80448,                0.72936,                  1.016,               0.001288,               0.001288,               0.001288
                     46,                0.56859,                0.39956,                0.87542,                0.68885,                0.51659,                 0.5498,                0.43563,                0.77661,                0.70868,                 1.0073,                0.00109,                0.00109,                0.00109
                     47,                 0.5592,                0.39294,                0.87227,                0.56224,                0.59867,                0.57758,                0.44198,                0.76142,                0.69741,                 1.0035,               0.000892,               0.000892,               0.000892
                     48,                0.56185,                0.38687,                0.86627,                0.65513,                0.55763,                0.57788,                0.44879,                0.75788,                0.67157,                 1.0062,               0.000694,               0.000694,               0.000694
                     49,                0.54281,                0.37953,                0.86766,                0.76245,                0.55372,                0.59366,                0.45705,                0.74208,                0.66572,                 1.0008,               0.000496,               0.000496,               0.000496
